name,date (yyyy_mm_dd_hh_mm_ss),tag 1,tag 2,tag 3,tag 4
walking_shoes_048.jpg,2018_09_23_10_09_01,shoes,outdoor,talk,
walking_shoes_049.jpg,2018_09_23_12_00_22,shoes,outdoor,talk,
walking_shoes_050.jpg,2018_09_23_12_02_00,shoes,outdoor,talk,
walking_shoes_051.jpg,2018_09_23_13_23_31,shoes,outdoor,light,
walking_shoes_052.jpg,2018_09_23_14_02_12,shoes,outdoor,talk,
walking_shoes_053.jpg,2018_09_23_14_14_51,shoes,outdoor,bus,
walking_shoes_054.jpg,2018_09_23_16_32_05,shoes,outdoor,call,
walking_shoes_055.jpg,2018_09_23_16_35_19,shoes,outdoor,talk,
walking_shoes_056.jpg,2018_09_23_16_50_49,shoes,outdoor,food,
walking_shoes_057.jpg,2018_09_23_18_12_50,shoes,outdoor,bus,
walking_shoes_058.jpg,2018_09_23_18_20_31,shoes,outdoor,talk,
walking_shoes_059.jpg,2018_09_23_18_48_01,shoes,indoor,elevator,
unlock_screen_000.jpg,2018_09_17_02_32_29,#working,#sleepy,#time,
unlock_screen_001.jpg,2018_09_17_05_02_14,#starting,#sleepy,#time,
unlock_screen_002.jpg,2018_09_17_05_50_43,#preparing,#anxious,#time,
unlock_screen_003.jpg,2018_09_17_05_56_20,#preparing,#anxious,#forgot,
unlock_screen_004.jpg,2018_09_17_05_59_08,#commuting,#bored,#games,
unlock_screen_005.jpg,2018_09_17_06_30_00,#commuting,#bored,#email,
unlock_screen_006.jpg,2018_09_17_06_38_51,#commuting,#bored,#texting,
